,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,0.0001450985580718036,0.0016145839892056056,1.0,1.0,4.611654853362876e-07,0.08232769383904422,4.025904031952659e-10,1.0,1.0
aflfast,1.0,-1.0,0.00030712773411033136,0.002774553235882799,1.0,1.0,1.1481180035575034e-06,0.12500731902209516,1.2336553920613603e-09,1.0,1.0
aflplusplus,0.0001450985580718036,0.00030712773411033136,-1.0,1.0,3.603935096295421e-05,0.0006349833693792547,1.0,1.0,0.6782270419122866,0.11764579384050612,1.355828640875518e-07
aflplusplus_optimal,0.0016145839892056056,0.002774553235882799,1.0,-1.0,0.0005536016996830166,0.005554139156112668,1.0,1.0,0.7344852111531917,0.34908086526624416,7.628539713713215e-06
aflsmart,1.0,1.0,3.603935096295421e-05,0.0005536016996830166,-1.0,1.0,8.834649564697751e-08,0.03293124021312499,5.3393550112169785e-11,0.7344852111531917,1.0
eclipser,1.0,1.0,0.0006349833693792547,0.005554139156112668,1.0,-1.0,2.4388490625738336e-06,0.23370782277991578,2.4102786574687826e-09,1.0,1.0
entropic,4.611654853362876e-07,1.1481180035575034e-06,1.0,1.0,8.834649564697751e-08,2.4388490625738336e-06,-1.0,0.0994280124884776,1.0,0.0023033542576789278,8.782954071486376e-11
fairfuzz,0.08232769383904422,0.12500731902209516,1.0,1.0,0.03293124021312499,0.23370782277991578,0.0994280124884776,-1.0,0.002369589821249829,1.0,0.0008338434388973023
honggfuzz,4.025904031952659e-10,1.2336553920613603e-09,0.6782270419122866,0.7344852111531917,5.3393550112169785e-11,2.4102786574687826e-09,1.0,0.002369589821249829,-1.0,1.7249532642735582e-05,7.43765256506572e-15
libfuzzer,1.0,1.0,0.11764579384050612,0.34908086526624416,0.7344852111531917,1.0,0.0023033542576789278,1.0,1.7249532642735582e-05,-1.0,0.0777872997121334
mopt,1.0,1.0,1.355828640875518e-07,7.628539713713215e-06,1.0,1.0,8.782954071486376e-11,0.0008338434388973023,7.43765256506572e-15,0.0777872997121334,-1.0
