,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,1.954166265895945e-09,4.768386009198146e-09,1.0,1.0,0.010288249466687193,1.992659438462479e-05,0.08096275499051298,1.5360783433410065e-06,1.0
aflfast,1.0,-1.0,4.263035566618885e-11,1.238636415845707e-10,1.0,1.0,0.0022400784700965385,1.5492550085728723e-06,0.02714370232730479,9.100002120914226e-08,1.0
aflplusplus,1.954166265895945e-09,4.263035566618885e-11,-1.0,1.0,1.8401709795413146e-09,8.082208479426004e-10,0.03574835453267111,1.0,0.0021342618075652986,1.0,4.9283716265599685e-09
aflplusplus_optimal,4.768386009198146e-09,1.238636415845707e-10,1.0,-1.0,4.736950900425614e-09,2.152608429642802e-09,0.055874043466622225,1.0,0.0038251183781535286,1.0,1.3222921694546923e-08
aflsmart,1.0,1.0,1.8401709795413146e-09,4.736950900425614e-09,-1.0,1.0,0.016980609771275454,2.7719170402564502e-05,0.12765859443362806,1.948553483302414e-06,1.0
eclipser,1.0,1.0,8.082208479426004e-10,2.152608429642802e-09,1.0,-1.0,0.013160425623938104,1.709668895204183e-05,0.10804711351443522,1.1599642891937402e-06,1.0
entropic,0.010288249466687193,0.0022400784700965385,0.03574835453267111,0.055874043466622225,0.016980609771275454,0.013160425623938104,-1.0,1.0,1.0,0.6950765054831372,0.03770525132814966
fairfuzz,1.992659438462479e-05,1.5492550085728723e-06,1.0,1.0,2.7719170402564502e-05,1.709668895204183e-05,1.0,-1.0,0.5278702999199291,1.0,7.823460927046173e-05
honggfuzz,0.08096275499051298,0.02714370232730479,0.0021342618075652986,0.0038251183781535286,0.12765859443362806,0.10804711351443522,1.0,0.5278702999199291,-1.0,0.10452297736800317,0.2723715984275806
libfuzzer,1.5360783433410065e-06,9.100002120914226e-08,1.0,1.0,1.948553483302414e-06,1.1599642891937402e-06,0.6950765054831372,1.0,0.10452297736800317,-1.0,5.582854172984501e-06
mopt,1.0,1.0,4.9283716265599685e-09,1.3222921694546923e-08,1.0,1.0,0.03770525132814966,7.823460927046173e-05,0.2723715984275806,5.582854172984501e-06,-1.0
