,afl,aflfast,aflplusplus,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,4.831308488895128e-05,1.0,5.4049673342758406e-05,3.449926744560972e-06,1.0,3.449926744560972e-06,0.008874831186759444,1.0
aflfast,1.0,-1.0,4.6092808790672526e-06,1.0,5.451479673649697e-06,2.1433221303398028e-07,1.0,2.2068117427069072e-07,0.0013417263105636916,1.0
aflplusplus,4.831308488895128e-05,4.6092808790672526e-06,-1.0,3.884380430933989e-06,1.0,1.0,3.573646189360249e-06,1.0,1.0,1.0289306455907084e-05
aflsmart,1.0,1.0,3.884380430933989e-06,-1.0,4.6092808790672526e-06,1.4497053486030679e-07,1.0,1.5269545016592719e-07,0.0013079478002174024,1.0
eclipser,5.4049673342758406e-05,5.451479673649697e-06,1.0,4.6092808790672526e-06,-1.0,1.0,4.296584872983459e-06,1.0,1.0,1.2079493832917668e-05
entropic,3.449926744560972e-06,2.1433221303398028e-07,1.0,1.4497053486030679e-07,1.0,-1.0,1.2470627468455132e-07,1.0,1.0,5.227001194660407e-07
fairfuzz,1.0,1.0,3.573646189360249e-06,1.0,4.296584872983459e-06,1.2470627468455132e-07,-1.0,1.3285130960348465e-07,0.0013079478002174024,1.0
honggfuzz,3.449926744560972e-06,2.2068117427069072e-07,1.0,1.5269545016592719e-07,1.0,1.0,1.3285130960348465e-07,-1.0,1.0,5.341015478430648e-07
libfuzzer,0.008874831186759444,0.0013417263105636916,1.0,0.0013079478002174024,1.0,1.0,0.0013079478002174024,1.0,-1.0,0.0027631271544061352
mopt,1.0,1.0,1.0289306455907084e-05,1.0,1.2079493832917668e-05,5.227001194660407e-07,1.0,5.341015478430648e-07,0.0027631271544061352,-1.0
