,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,0.5833139312219502,0.5833139312219502,1.0,1.0,0.4363038775218344,1.0,1.0,0.4745064263398998,1.0
aflfast,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aflplusplus,0.5833139312219502,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015350437107898981
aflplusplus_optimal,0.5833139312219502,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015350437107898981
aflsmart,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
eclipser,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
entropic,0.4363038775218344,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.008416751010549024
fairfuzz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
honggfuzz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.04048435879125436
libfuzzer,0.4745064263398998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.01009850292173092
mopt,1.0,1.0,0.015350437107898981,0.015350437107898981,1.0,1.0,0.008416751010549024,1.0,0.04048435879125436,0.01009850292173092,-1.0
