,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,1.0734509418977768e-06,1.0734509418977768e-06,1.0,2.2993908388364564e-06,1.6055408677817316e-06,1.0,1.0,1.6055408677817316e-06,1.0
aflfast,1.0,-1.0,4.328873481596029e-07,4.328873481596029e-07,1.0,9.191111106998174e-07,6.293310806447942e-07,1.0,1.0,6.293310806447942e-07,1.0
aflplusplus,1.0734509418977768e-06,4.328873481596029e-07,-1.0,1.0,1.2847971661387003e-07,1.0,1.0,3.0350467319856585e-07,3.0350467319856585e-07,1.0,4.016484806061935e-06
aflplusplus_optimal,1.0734509418977768e-06,4.328873481596029e-07,1.0,-1.0,1.2847971661387003e-07,1.0,1.0,3.0350467319856585e-07,3.0350467319856585e-07,1.0,4.016484806061935e-06
aflsmart,1.0,1.0,1.2847971661387003e-07,1.2847971661387003e-07,-1.0,3.054191773919593e-07,1.94602395155767e-07,1.0,1.0,1.94602395155767e-07,1.0
eclipser,2.2993908388364564e-06,9.191111106998174e-07,1.0,1.0,3.054191773919593e-07,-1.0,1.0,6.293310806447942e-07,6.293310806447942e-07,1.0,8.210468539882518e-06
entropic,1.6055408677817316e-06,6.293310806447942e-07,1.0,1.0,1.94602395155767e-07,1.0,-1.0,4.328873481596029e-07,4.328873481596029e-07,1.0,5.947312760295612e-06
fairfuzz,1.0,1.0,3.0350467319856585e-07,3.0350467319856585e-07,1.0,6.293310806447942e-07,4.328873481596029e-07,-1.0,1.0,4.328873481596029e-07,1.0
honggfuzz,1.0,1.0,3.0350467319856585e-07,3.0350467319856585e-07,1.0,6.293310806447942e-07,4.328873481596029e-07,1.0,-1.0,4.328873481596029e-07,1.0
libfuzzer,1.6055408677817316e-06,6.293310806447942e-07,1.0,1.0,1.94602395155767e-07,1.0,1.0,4.328873481596029e-07,4.328873481596029e-07,-1.0,5.947312760295612e-06
mopt,1.0,1.0,4.016484806061935e-06,4.016484806061935e-06,1.0,8.210468539882518e-06,5.947312760295612e-06,1.0,1.0,5.947312760295612e-06,-1.0
