,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,0.005370484598506963,0.003249431357799064,1.0,1.0,0.13104705692288868,0.006134873108413139,0.009662761531881515,1.0,1.0
aflfast,1.0,-1.0,0.009045935343028203,0.006284437234351913,1.0,1.0,0.07493950424030182,0.010310086879932226,0.0057387337272018606,0.8705899184228877,1.0
aflplusplus,0.005370484598506963,0.009045935343028203,-1.0,1.0,0.0075505838615725265,0.006794388561317132,3.2283994685566985e-09,1.0,9.281756429701759e-12,2.051005625394461e-06,0.012734814730387763
aflplusplus_optimal,0.003249431357799064,0.006284437234351913,1.0,-1.0,0.0050810706604563225,0.004435333848299264,1.2677403079231523e-09,1.0,3.2316951880838818e-12,9.409863001339524e-07,0.008576053421106296
aflsmart,1.0,1.0,0.0075505838615725265,0.0050810706604563225,-1.0,1.0,0.09238625107994093,0.008576053421106296,0.0070722873760324136,0.9852566852564757,1.0
eclipser,1.0,1.0,0.006794388561317132,0.004435333848299264,1.0,-1.0,0.0644323032366563,0.0075505838615725265,0.004435333848299264,0.8539159374829307,1.0
entropic,0.13104705692288868,0.07493950424030182,3.2283994685566985e-09,1.2677403079231523e-09,0.09238625107994093,0.0644323032366563,-1.0,2.5935742859873767e-09,1.0,1.0,0.04015467090372196
fairfuzz,0.006134873108413139,0.010310086879932226,1.0,1.0,0.008576053421106296,0.0075505838615725265,2.5935742859873767e-09,-1.0,5.993396493883498e-12,2.051005625394461e-06,0.015030992382809395
honggfuzz,0.009662761531881515,0.0057387337272018606,9.281756429701759e-12,3.2316951880838818e-12,0.0070722873760324136,0.004435333848299264,1.0,5.993396493883498e-12,-1.0,1.0,0.0026218397723079224
libfuzzer,1.0,0.8705899184228877,2.051005625394461e-06,9.409863001339524e-07,0.9852566852564757,0.8539159374829307,1.0,2.051005625394461e-06,1.0,-1.0,0.603707777724495
mopt,1.0,1.0,0.012734814730387763,0.008576053421106296,1.0,1.0,0.04015467090372196,0.015030992382809395,0.0026218397723079224,0.603707777724495,-1.0
