,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,6.946175818825671e-07,2.3680545912596646e-07,1.0,1.0,0.26462231931530905,0.2569976480222069,1.0,1.0,1.0
aflfast,1.0,-1.0,0.003784539689142426,0.0014227856859882996,1.0,1.0,1.0,1.0,1.0,0.9844913744144655,1.0
aflplusplus,6.946175818825671e-07,0.003784539689142426,-1.0,1.0,6.14305248665493e-06,2.5339445854826223e-05,0.05293836807063187,0.07009495688890018,2.5289695468788998e-05,1.549528488141099e-07,0.0014710388807257968
aflplusplus_optimal,2.3680545912596646e-07,0.0014227856859882996,1.0,-1.0,2.0951006581222206e-06,8.930865487913699e-06,0.021144034728973665,0.028541405186664832,8.930865487913699e-06,5.2910648036787974e-08,0.000545512327771809
aflsmart,1.0,1.0,6.14305248665493e-06,2.0951006581222206e-06,-1.0,1.0,0.6938581904830139,0.6713401250349803,1.0,1.0,1.0
eclipser,1.0,1.0,2.5339445854826223e-05,8.930865487913699e-06,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
entropic,0.26462231931530905,1.0,0.05293836807063187,0.021144034728973665,0.6938581904830139,1.0,-1.0,1.0,1.0,0.07826238525247213,1.0
fairfuzz,0.2569976480222069,1.0,0.07009495688890018,0.028541405186664832,0.6713401250349803,1.0,1.0,-1.0,0.9937221030938201,0.07633249861103374,1.0
honggfuzz,1.0,1.0,2.5289695468788998e-05,8.930865487913699e-06,1.0,1.0,1.0,0.9937221030938201,-1.0,1.0,1.0
libfuzzer,1.0,0.9844913744144655,1.549528488141099e-07,5.2910648036787974e-08,1.0,1.0,0.07826238525247213,0.07633249861103374,1.0,-1.0,1.0
mopt,1.0,1.0,0.0014710388807257968,0.000545512327771809,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
