,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,0.013281951638529882,0.010545695601547353,1.0,1.0,1.0,1.0,0.4564981658999161,0.09973718864991979,1.0
aflfast,1.0,-1.0,0.0053984224418041305,0.004249948356167196,1.0,1.0,1.0,1.0,0.4471706767384376,0.08667690950495988,1.0
aflplusplus,0.013281951638529882,0.0053984224418041305,-1.0,1.0,0.012098756622317328,0.007344727601153879,1.0,1.0,2.543855282431866e-08,2.4144012009838555e-10,9.422364992013901e-06
aflplusplus_optimal,0.010545695601547353,0.004249948356167196,1.0,-1.0,0.009663636542658179,0.0058465107345988185,0.8034443616714125,1.0,2.5737837539397168e-08,2.9581159437007757e-10,8.412140642665596e-06
aflsmart,1.0,1.0,0.012098756622317328,0.009663636542658179,-1.0,1.0,1.0,1.0,0.2345766863530503,0.038853504474691054,1.0
eclipser,1.0,1.0,0.007344727601153879,0.0058465107345988185,1.0,-1.0,1.0,1.0,0.7027030847984974,0.1659766274030635,1.0
entropic,1.0,1.0,1.0,0.8034443616714125,1.0,1.0,-1.0,1.0,0.00622355787563761,0.0005648368228530878,0.14487864417789226
fairfuzz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.000643141881163282,3.065229048915698e-05,0.03012317709518339
honggfuzz,0.4564981658999161,0.4471706767384376,2.543855282431866e-08,2.5737837539397168e-08,0.2345766863530503,0.7027030847984974,0.00622355787563761,0.000643141881163282,-1.0,1.0,1.0
libfuzzer,0.09973718864991979,0.08667690950495988,2.4144012009838555e-10,2.9581159437007757e-10,0.038853504474691054,0.1659766274030635,0.0005648368228530878,3.065229048915698e-05,1.0,-1.0,1.0
mopt,1.0,1.0,9.422364992013901e-06,8.412140642665596e-06,1.0,1.0,0.14487864417789226,0.03012317709518339,1.0,1.0,-1.0
