,afl,aflfast,aflplusplus,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,0.0012225055266643172,1.0,0.014810511965623318,2.5457142228541185e-11,1.0,1.0813209650897583e-12,6.544010791713412e-07,1.0
aflfast,1.0,-1.0,0.0021427919259678833,1.0,0.02061901278056938,1.864426905790193e-10,1.0,1.0127734409004555e-11,2.2430702913972895e-06,1.0
aflplusplus,0.0012225055266643172,0.0021427919259678833,-1.0,0.004588394250066953,1.0,0.07343863625929149,0.001819195538439986,0.01920957796601843,1.0,0.004588394250066953
aflsmart,1.0,1.0,0.004588394250066953,-1.0,0.034467102168221825,2.1589300312863883e-09,1.0,1.422794633789397e-10,1.0041924302308495e-05,1.0
eclipser,0.014810511965623318,0.02061901278056938,1.0,0.034467102168221825,-1.0,0.009735450262475263,0.01920957796601843,0.001819195538439986,0.6436619480329873,0.034467102168221825
entropic,2.5457142228541185e-11,1.864426905790193e-10,0.07343863625929149,2.1589300312863883e-09,0.009735450262475263,-1.0,9.644731308979505e-11,1.0,1.0,2.1589300312863883e-09
fairfuzz,1.0,1.0,0.001819195538439986,1.0,0.01920957796601843,9.644731308979505e-11,-1.0,4.640391106100669e-12,1.4679300344130783e-06,1.0
honggfuzz,1.0813209650897583e-12,1.0127734409004555e-11,0.01920957796601843,1.422794633789397e-10,0.001819195538439986,1.0,4.640391106100669e-12,-1.0,0.6360402932306687,1.422794633789397e-10
libfuzzer,6.544010791713412e-07,2.2430702913972895e-06,1.0,1.0041924302308495e-05,0.6436619480329873,1.0,1.4679300344130783e-06,0.6360402932306687,-1.0,1.0041924302308495e-05
mopt,1.0,1.0,0.004588394250066953,1.0,0.034467102168221825,2.1589300312863883e-09,1.0,1.422794633789397e-10,1.0041924302308495e-05,-1.0
