,afl,aflfast,aflplusplus,aflplusplus_optimal,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,1.0,0.18008287679216187,1.0,1.0,1.0,1.9462571973024684e-08,0.0006409113359141987,1.0,1.7557800230168058e-06,1.0
aflfast,1.0,-1.0,1.0,1.0,1.0,1.0,2.4648436472986695e-06,0.019623096180848794,1.0,0.00014177136024127782,1.0
aflplusplus,0.18008287679216187,1.0,-1.0,1.0,0.007852462206259625,0.006552981544744286,0.030467987785874756,1.0,0.45181768094071595,0.2946249551952934,1.0
aflplusplus_optimal,1.0,1.0,1.0,-1.0,0.0920865313290614,0.07717076597706275,0.0002352303771894215,0.29181643509760036,1.0,0.007151793262408562,1.0
aflsmart,1.0,1.0,0.007852462206259625,0.0920865313290614,-1.0,1.0,1.4782817073444478e-12,3.3885167553852163e-06,1.0,5.798971699040949e-10,1.0
eclipser,1.0,1.0,0.006552981544744286,0.07717076597706275,1.0,-1.0,9.134679004388324e-13,2.488425559573494e-06,1.0,3.776461984174708e-10,1.0
entropic,1.9462571973024684e-08,2.4648436472986695e-06,0.030467987785874756,0.0002352303771894215,1.4782817073444478e-12,9.134679004388324e-13,-1.0,1.0,8.7527675532425e-08,1.0,1.3327401912142724e-06
fairfuzz,0.0006409113359141987,0.019623096180848794,1.0,0.29181643509760036,3.3885167553852163e-06,2.488425559573494e-06,1.0,-1.0,0.0023642079536706014,1.0,0.0118835514141268
honggfuzz,1.0,1.0,0.45181768094071595,1.0,1.0,1.0,8.7527675532425e-08,0.0023642079536706014,-1.0,7.222332599349265e-06,1.0
libfuzzer,1.7557800230168058e-06,0.00014177136024127782,0.2946249551952934,0.007151793262408562,5.798971699040949e-10,3.776461984174708e-10,1.0,1.0,7.222332599349265e-06,-1.0,7.723228987059891e-05
mopt,1.0,1.0,1.0,1.0,1.0,1.0,1.3327401912142724e-06,0.0118835514141268,1.0,7.723228987059891e-05,-1.0
