,afl,aflfast,aflplusplus,aflsmart,eclipser,entropic,fairfuzz,honggfuzz,libfuzzer,mopt
afl,-1.0,0.06648556323092553,1.0,1.0,1.0,2.197098471380082e-05,1.0,1.0,3.9339398321013435e-06,1.0
aflfast,0.06648556323092553,-1.0,9.939706648335236e-06,0.0005504526847698591,8.944375608470436e-05,1.7398813015210588e-16,0.0007881461872573279,0.0012352557105291197,7.09645077292665e-18,0.2350984770144367
aflplusplus,1.0,9.939706648335236e-06,-1.0,1.0,1.0,0.00731650673033615,1.0,1.0,0.001871335608016612,0.3501747451757012
aflsmart,1.0,0.0005504526847698591,1.0,-1.0,1.0,0.001871335608016612,1.0,1.0,0.0005033189432901085,1.0
eclipser,1.0,8.944375608470436e-05,1.0,1.0,-1.0,0.008610961191072013,1.0,1.0,0.0023631211779121765,0.6849089412378802
entropic,2.197098471380082e-05,1.7398813015210588e-16,0.00731650673033615,0.001871335608016612,0.008610961191072013,-1.0,0.0007661831096289903,0.0005033189432901085,1.0,1.8603811452551245e-07
fairfuzz,1.0,0.0007881461872573279,1.0,1.0,1.0,0.0007661831096289903,-1.0,1.0,0.00017258528714077898,1.0
honggfuzz,1.0,0.0012352557105291197,1.0,1.0,1.0,0.0005033189432901085,1.0,-1.0,0.00010418248796060518,1.0
libfuzzer,3.9339398321013435e-06,7.09645077292665e-18,0.001871335608016612,0.0005033189432901085,0.0023631211779121765,1.0,0.00017258528714077898,0.00010418248796060518,-1.0,2.187815256293456e-08
mopt,1.0,0.2350984770144367,0.3501747451757012,1.0,0.6849089412378802,1.8603811452551245e-07,1.0,1.0,2.187815256293456e-08,-1.0
